link,to,gages,Length,lon,lat,gagestr
11339045,11339059,b'       10244950',1037.0,-114.69133,39.19881,b'       10244950'
10696957,10695801,b'       10249300',5185.0,-117.253494,38.874104,b'       10249300'
22593497,22592027,b'       10258000',4852.0,-116.57116,33.79923,b'       10258000'
22593537,22592143,b'       10258500',1584.0,-116.535835,33.749798,b'       10258500'
22592131,22592111,b'       10259000',3024.0,-116.548935,33.76051,b'       10259000'
22592497,22592417,b'       10259200',3830.0,-116.39176,33.636433,b'       10259200'
22684930,22683374,b'       10263500',663.0,-117.83899,34.418808,b'       10263500'
8920579,8920581,b'       10310500',6556.0,-119.79866,39.113876,b'       10310500'
10786444,10786414,b'       10316500',5114.0,-115.46237,40.672386,b'       10316500'
11137442,11136380,b'       10329500',1512.0,-117.41668,41.53546,b'       10329500'
8941733,8942097,b'       10336645',6543.0,-120.14424,39.04394,b'       10336645'
8941693,8942075,b'       10336660',2875.0,-120.1733,39.108757,b'       10336660'
8933522,8933518,b'       10343500',396.0,-120.23885,39.431328,b'       10343500'
8935820,8935294,b'       10348850',4968.0,-119.84036,39.36033,b'       10348850'
24013585,24013583,b'       10396000',4133.0,-118.86711,42.78726,b'       10396000'
22514774,22514800,b'       11098000',3805.0,-118.17981,34.22583,b'       11098000'
17611425,17611573,b'       11124500',898.0,-119.9114,34.594364,b'       11124500'
8193647,8193701,b'       11141280',3420.0,-120.47412,35.239223,b'       11141280'
8189809,8188957,b'       11143000',834.0,-121.77334,36.24568,b'       11143000'
8209949,8209965,b'       11148900',1678.0,-121.10248,35.78822,b'       11148900'
8205487,8203187,b'       11151300',3432.0,-121.06357,36.261395,b'       11151300'
17688105,17688129,b'       11162500',851.0,-122.330315,37.26025,b'       11162500'
2806807,2806777,b'       11176400',1931.0,-121.67569,37.556263,b'       11176400'
2804369,2805473,b'       11180500',3303.0,-122.02944,37.599594,b'       11180500'
2804901,2805077,b'       11180960',5216.0,-122.05252,37.729195,b'       11180960'
14883269,14883275,b'       11224500',2573.0,-120.467865,36.217136,b'       11224500'
14882615,14882597,b'       11253310',2988.0,-120.42773,36.395294,b'       11253310'
21609533,21609427,b'       11264500',2596.0,-119.55885,37.736423,b'       11264500'
21609641,21609627,b'       11266500',907.0,-119.6685,37.716743,b'       11266500'
2828012,2828006,b'       11274500',3399.0,-121.11948,37.320827,b'       11274500'
2827982,2821816,b'       11274630',5891.0,-121.195305,37.49356,b'       11274630'
17078425,17078423,b'       11284400',829.0,-120.18178,37.841793,b'       11284400'
348419,348427,b'       11299600',1643.0,-120.61461,37.965614,b'       11299600'
8019544,12068316,b'       11381500',3201.0,-122.01893,40.054726,b'       11381500'
8020924,12069362,b'       11383500',14114.0,-121.896164,40.020115,b'       11383500'
8005975,8005997,b'       11451100',1307.0,-122.62003,39.165752,b'       11451100'
2665525,2663781,b'       11468500',294.0,-123.737,39.427994,b'       11468500'
8295207,8295203,b'       11473900',1076.0,-123.324615,39.706852,b'       11473900'
8287590,8287574,b'       11475560',3602.0,-123.62933,39.72816,b'       11475560'
8284190,8284784,b'       11476600',678.0,-124.00409,40.350616,b'       11476600'
2705477,2705485,b'       11478500',2166.0,-123.89476,40.482697,b'       11478500'
8320019,8320013,b'       11480390',784.0,-123.335655,40.284935,b'       11480390'
8315847,8315833,b'       11481200',2694.0,-124.076904,41.010094,b'       11481200'
8315607,8315605,b'       11482500',4648.0,-124.068016,41.286896,b'       11482500'
8261865,8258809,b'       11522500',1955.0,-123.48367,41.377842,b'       11522500'
8242324,8242340,b'       11523200',1498.0,-122.70693,41.10781,b'       11523200'
8232392,8233476,b'       11528700',2069.0,-123.49675,40.652763,b'       11528700'
22226812,22226810,b'       11532500',656.0,-124.07995,41.792313,b'       11532500'
23864404,23864402,b'       12010000',8361.0,-123.72369,46.381134,b'       12010000'
23864616,23864614,b'       12013500',3863.0,-123.66436,46.649204,b'       12013500'
23850487,23850453,b'       12020000',4312.0,-123.275536,46.621452,b'       12020000'
23850671,23850369,b'       12025000',10862.0,-122.95635,46.624676,b'       12025000'
23850773,23850771,b'       12025700',2577.0,-122.59898,46.77575,b'       12025700'
23856727,23856725,b'       12035000',2445.0,-123.498825,47.00916,b'       12035000'
23844955,23844953,b'       12040500',3161.0,-124.31612,47.534496,b'       12040500'
23838194,23838192,b'       12041200',6119.0,-124.25975,47.797726,b'       12041200'
23838568,23838566,b'       12043000',10192.0,-124.40405,47.960114,b'       12043000'
23997388,23997386,b'       12048000',1543.0,-123.13112,48.015884,b'       12048000'
24287056,24287054,b'       12054000',6711.0,-123.0176,47.682858,b'       12054000'
24285534,24285532,b'       12056500',416.0,-123.32872,47.51332,b'       12056500'
23989205,23989201,b'       12073500',5968.0,-122.70502,47.412426,b'       12073500'
24282122,24282120,b'       12082500',3377.0,-122.09172,46.75157,b'       12082500'
23980479,23980477,b'       12092000',890.0,-122.03476,46.90363,b'       12092000'
23980763,23980613,b'       12095000',10068.0,-122.13199,47.129063,b'       12095000'
24538014,24538010,b'       12114500',313.0,-121.54919,47.34198,b'       12114500'
24537996,24537994,b'       12115000',2879.0,-121.63581,47.37261,b'       12115000'
24537972,24537970,b'       12115500',3624.0,-121.67708,47.357395,b'       12115500'
24537924,24537922,b'       12117000',1367.0,-121.84814,47.387142,b'       12117000'
23970363,23970361,b'       12141300',1526.0,-121.64871,47.485607,b'       12141300'
23970289,23970287,b'       12143600',962.0,-121.71425,47.453922,b'       12143600'
23970271,23970269,b'       12144000',3997.0,-121.78728,47.490036,b'       12144000'
23970215,23970213,b'       12145500',5586.0,-121.900536,47.54971,b'       12145500'
23970779,23970777,b'       12147500',2494.0,-121.78733,47.71279,b'       12147500'
23970773,23970771,b'       12147600',6863.0,-121.57089,47.70299,b'       12147600'
24274653,24274651,b'       12167000',4124.0,-122.038025,48.25986,b'       12167000'
24255219,24255217,b'       12175500',2074.0,-121.0691,48.666622,b'       12175500'
24255169,24255167,b'       12178100',4162.0,-121.24139,48.657104,b'       12178100'
24264875,24264873,b'       12186000',571.0,-121.472786,48.170013,b'       12186000'
24264763,24264761,b'       12189500',3536.0,-121.57131,48.43067,b'       12189500'
22957049,22957045,b'       12358500',2566.0,-114.009445,48.49575,b'       12358500'
24357005,24357003,b'       12374250',5221.0,-114.72398,47.823887,b'       12374250'
24356439,24356437,b'       12375900',2926.0,-114.01119,47.495094,b'       12375900'
24356265,24356263,b'       12377150',1356.0,-113.978516,47.323265,b'       12377150'
24356091,24356089,b'       12381400',3894.0,-113.82974,47.192867,b'       12381400'
22976274,22976272,b'       12390700',890.0,-115.356674,47.587925,b'       12390700'
24373072,24373012,b'       12411000',778.0,-115.976006,47.704685,b'       12411000'
23004329,23004327,b'       12414500',3388.0,-116.18895,47.27427,b'       12414500'
24384943,24385053,b'       12447390',2318.0,-120.15011,48.831326,b'       12447390'
23073999,23073997,b'       12451000',883.0,-120.69251,48.33017,b'       12451000'
24422913,24422911,b'       12488500',6134.0,-121.19274,46.97253,b'       12488500'
23123373,23123725,b'       13011500',1056.0,-110.51856,43.850502,b'       13011500'
23123209,23123207,b'       13011900',4088.0,-110.44035,43.837067,b'       13011900'
24432663,24432661,b'       13018300',8918.0,-110.66889,43.439934,b'       13018300'
24432173,24432171,b'       13023000',4401.0,-110.963326,43.14205,b'       13023000'
23184753,23184751,b'       13083000',2933.0,-113.97324,42.17034,b'       13083000'
23287111,23286987,b'       13161500',5604.0,-115.67534,41.932087,b'       13161500'
24158523,24158503,b'       13235000',1826.0,-115.6189,44.081432,b'       13235000'
24177409,24177407,b'       13240000',2268.0,-115.98969,44.914196,b'       13240000'
23551284,23551256,b'       13310700',2143.0,-115.7245,44.99206,b'       13310700'
23551584,23551582,b'       13313000',7334.0,-115.48877,44.936447,b'       13313000'
23436993,23436991,b'       13331500',4133.0,-117.729546,45.60902,b'       13331500'
23588130,23588128,b'       13337000',1637.0,-115.58278,46.155304,b'       13337000'
23597191,23597189,b'       13338500',236.0,-115.97621,46.086666,b'       13338500'
23606382,23606380,b'       13340000',1409.0,-116.260345,46.48089,b'       13340000'
23630350,23630308,b'       13340600',451.0,-115.618515,46.84021,b'       13340600'
23648622,23648620,b'       14020000',1513.0,-118.32507,45.717754,b'       14020000'
23719653,23719651,b'       14092750',7157.0,-121.62321,44.754467,b'       14092750'
23719315,23719313,b'       14096850',4659.0,-121.38215,44.940586,b'       14096850'
23735819,23735817,b'       14137000',2996.0,-122.13048,45.390522,b'       14137000'
23736071,23736069,b'       14138800',1220.0,-121.895,45.455555,b'       14138800'
23736433,23736431,b'       14138870',5162.0,-122.01323,45.47143,b'       14138870'
23736093,23736091,b'       14138900',489.0,-122.034,45.498333,b'       14138900'
23736041,23736039,b'       14139800',3521.0,-122.09694,45.442608,b'       14139800'
23735991,23735989,b'       14141500',2666.0,-122.161606,45.41488,b'       14141500'
23759452,23759450,b'       14154500',1868.0,-122.87233,43.73495,b'       14154500'
23773371,23773369,b'       14158500',2502.0,-121.9974,44.35045,b'       14158500'
23773393,23773391,b'       14158790',1427.0,-122.048904,44.337345,b'       14158790'
23763161,23763159,b'       14166500',5017.0,-123.420364,44.043385,b'       14166500'
23780805,23780481,b'       14182500',4885.0,-122.58423,44.790108,b'       14182500'
23785793,23785791,b'       14185000',1043.0,-122.496025,44.39282,b'       14185000'
23786019,23786017,b'       14185900',343.0,-122.43633,44.538933,b'       14185900'
23785723,23785721,b'       14187000',2822.0,-122.63104,44.376907,b'       14187000'
24242219,24243661,b'       14216500',2595.0,-122.00178,46.07717,b'       14216500'
24241689,24241687,b'       14222500',1651.0,-122.47537,45.83466,b'       14222500'
24249034,24249032,b'       14236200',1553.0,-122.46643,46.59505,b'       14236200'
23871899,23871877,b'       14301000',1614.0,-123.75909,45.70644,b'       14301000'
23876773,23876159,b'       14303200',2634.0,-123.54581,45.32444,b'       14303200'
23880874,23880872,b'       14305500',866.0,-123.88636,44.714855,b'       14305500'
23887140,23886370,b'       14306340',6407.0,-123.6035,44.25288,b'       14306340'
23886298,23886296,b'       14306500',4740.0,-123.84727,44.392162,b'       14306500'
23901309,23901307,b'       14308990',3786.0,-123.127884,42.822712,b'       14308990'
23901147,23901145,b'       14309500',3633.0,-123.61616,42.801605,b'       14309500'
23894572,23894204,b'       14316700',907.0,-122.73198,43.34564,b'       14316700'
23914567,23914565,b'       14325000',2759.0,-124.06937,42.89038,b'       14325000'
23935979,23935977,b'       14362250',1644.0,-123.0665,42.154106,b'       14362250'
23949601,23949599,b'       14400000',2695.0,-124.18534,42.126617,b'       14400000'
