gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
03165000,0.6585941443316818,790.87,1,0.06,0.00947,0,0.12,2.9777405,8.933222,0.72110945,1.7866443,-80.917114,36.582863,0.0001808781866317,0.0773758335110682,0.0135165126410609,0.6553603260700915,694.54,3,0.055,0.00141,0,0.11,12.78679,38.36037,0.37913314,7.6720743,-80.91457,36.698185,2.4050265952878625e-05,0.0241493531470754,0.0066537623818601
03164000,0.6564326698549119,688.67,3,0.055,0.00211,0,0.11,8.165625,30.0,0.4620837,4.8993745,-80.966446,36.63773,1.5416647787758417e-06,0.0079562403694145,0.0013286881650493,0.6554794563944554,670.48,5,0.05,1e-05,0,0.1,37.02299,111.06898,0.23718989,22.213795,-80.97516,36.68697,0.0002849378635921,0.1014474757064593,0.0142207373332279
03170000,0.642868857554502,702.44,1,0.06,0.0415,0,0.12,3.1527164,9.458149,0.70317084,1.8916299,-80.50808,37.02421,0.000215171831124,0.100230603996844,0.0298401734068736,0.6421620401715319,555.47,5,0.05,0.00108,0,0.1,23.721842,71.16553,0.28865945,14.233105,-80.563324,37.03696,2.907792710098485e-05,0.0348883282343442,0.0067764307532103
01634500,0.0795834280839824,267.6,2,0.06,0.01602,0,0.12,3.7038,11.1114,0.6549302,2.22228,-78.30133,39.144054,3.4977972162219955e-05,0.0347304081180617,0.0080005664595212,0.0785719583316187,198.15,4,0.055,0.00064,0,0.11,16.669497,50.008488,0.337276,10.001698,-78.33175,39.07403,9.583778806737772e-05,0.0594487871140257,0.0230822595053656
02053800,0.086376595475474,447.08,4,0.055,0.00658,0,0.11,11.400487,50.0,0.39882204,6.8402925,-80.27787,37.116657,0.0002966523555575,0.1101265247189689,0.0368568791143019,0.0855062164875864,404.72,5,0.05,0.00416,0,0.1,16.88893,70.0,0.33533564,10.133358,-80.238144,37.16375,2.839520007640744e-05,0.0303372962794021,0.0072289727459865
03161000,0.6715537008205967,848.98,2,0.06,0.00592,0,0.12,8.747611,26.242832,0.44825944,5.2485666,-81.43,36.334286,4.065264834941498e-05,0.0344570175204987,0.0063398045159593,0.6687485017681742,808.37,4,0.055,0.00305,0,0.11,20.89575,62.687252,0.3052744,12.537451,-81.40395,36.411606,1.4829852628494727e-05,0.0222161412438366,0.0039397485135818
10310500,0.078582798030391,1442.86,2,0.06,1e-05,0,0.12,6.2639832,18.79195,0.51941824,3.75839,-119.76594,39.08396,4.216310242540434e-06,0.0117189890659477,0.0014243079472563,0.0781680076469715,1442.86,3,0.055,0.00751,0,0.11,10.65012,31.950357,0.4109834,6.3900714,-119.74774,39.106785,0.0008551554283147,0.2528530896942778,0.0403365943325211
05458000,0.5354998018277227,335.61,1,0.06,0.01404,0,0.12,3.6223724,10.867117,0.66138494,2.1734233,-92.506615,43.063293,0.0003532800233178,0.1067936421861663,0.0242406573421624,0.5346491165842893,297.85,4,0.055,0.00017,0,0.11,23.373247,70.11974,0.29055092,14.023949,-92.50357,43.02469,6.639730476434353e-05,0.0661619558351283,0.0089491405369293
03173000,0.6324207601179702,527.48,5,0.05,0.00171,0,0.1,22.536617,70.0,0.29526109,13.521971,-80.7154,37.23412,6.23240941121986e-05,0.044303919067963,0.0097886578760863,0.6315153601122119,506.25,5,0.05,0.00366,0,0.1,23.437923,70.313774,0.29019693,14.062755,-80.693146,37.271797,1.8377975171136357e-05,0.0246679551193418,0.0038447814707877
05466500,0.472644627919083,195.83,1,0.06,0.01092,0,0.12,3.0755303,9.226591,0.7109026,1.8453182,-90.97008,41.257816,0.0002122536545981,0.0847919417747642,0.0165507857235259,0.4678342524683257,164.45,5,0.05,0.00049,0,0.1,26.911291,80.73387,0.27303317,16.146774,-90.975975,41.147717,5.850325801727055e-05,0.053865840458434,0.0141657315243108
11523200,0.0557619677414202,842.67,4,0.055,0.0102,0,0.11,17.91242,53.73726,0.32674333,10.747452,-122.67435,41.146145,0.0002325421891606,0.092270567574077,0.0123214045534628,0.0542094836276999,778.26,4,0.055,0.02818,0,0.11,18.758791,56.27637,0.32015544,11.255274,-122.70863,41.100273,3.347483808583328e-05,0.0307886581219942,0.0043312825104684
11522500,0.020575839689034,181.69,5,0.05,0.00447,0,0.1,31.83163,95.494896,0.25353792,19.098978,-123.43479,41.376255,0.0004428201241842,0.1196291622475097,0.0331555507844543,0.019390873662881,144.25,5,0.05,1e-05,0,0.1,32.040253,96.12076,0.25280827,19.224152,-123.49338,41.37766,1.9374442049408721e-07,0.0018167185230596,0.0004601078196298
11482500,0.0039735734070114,247.7,1,0.06,0.10308,0,0.12,3.8091285,11.427386,0.6468779,2.2854772,-124.03428,41.231922,0.0003980377837828,0.1031744325343781,0.0273045519822634,0.0002306658278538,2.8,5,0.05,0.00213,0,0.1,22.974611,70.0,0.2927644,13.784767,-124.08937,41.288734,0.0002306658278538,0.1071791887934931,0.0137103020106487
01487000,0.0147468322634204,12.81,1,0.06,0.00198,0,0.12,3.0621347,9.186404,0.7122729,1.8372809,-75.571884,38.781178,0.0002021812410958,0.0914446143384591,0.0365854125174607,0.013648809866555,5.04,4,0.055,1e-05,0,0.11,14.709621,50.0,0.3564106,8.825772,-75.560555,38.727093,4.6616436874423094e-07,0.0037015188165669,0.0003907213415354
02011400,0.1027874187377761,764.4,1,0.06,0.03209,0,0.12,7.0789533,21.23686,0.49213308,4.247372,-79.76281,38.105507,0.0016469510996148,0.2407755228850449,0.0705969961099033,0.0951419401933651,482.64,3,0.055,1e-05,0,0.11,18.87177,56.61531,0.31930843,11.323062,-79.900764,38.028694,3.694067340294979e-07,0.0029932951008653,0.0003331131777002
02051000,0.0459580170299805,146.5,1,0.06,0.01441,0,0.12,2.7124853,8.137456,0.7514108,1.6274911,-78.319145,37.00605,0.0001382214929784,0.0819616163431428,0.0206608792536949,0.0454664522957393,102.61,4,0.055,0.00164,0,0.11,13.545262,50.0,0.36961615,8.127157,-78.34567,36.994293,5.784928523944716e-05,0.044494593499744,0.0073004731776688
05087500,0.0378670977276789,263.43,1,0.06,0.00163,0,0.12,3.9543364,11.863009,0.6362885,2.3726017,-96.791855,48.314407,0.0005016587649951,0.1550872879357903,0.0448000725789892,0.0323508324073893,247.82,4,0.055,0.00059,0,0.11,22.80109,68.403275,0.29374525,13.680655,-96.954704,48.36957,0.0012337460650734,0.2447924177431118,0.0933257214232231
05129115,0.186752159758474,364.69,2,0.06,0.00256,0,0.12,3.830088,11.490264,0.6453138,2.2980528,-92.55705,48.26173,6.9878192841298e-05,0.0589771464529846,0.0110041556864015,0.1865322989056219,354.49,5,0.05,0.00107,0,0.1,34.15361,102.46084,0.24578351,20.492167,-92.564095,48.26562,1.2646412816651628e-05,0.0204370969449892,0.003781652308303
06917000,0.5296734605426913,285.89,1,0.06,0.01112,0,0.12,2.608341,7.8250227,0.7645022,1.5650046,-94.76108,38.085445,0.0001249572622441,0.0749906394577323,0.0210068867321921,0.5279419580067021,239.93,4,0.055,0.00131,0,0.11,23.397943,70.19383,0.29041559,14.038766,-94.70682,38.01087,7.986710560644388e-05,0.0604898937189077,0.0127514332790016
05131500,0.1335876081731875,349.34,1,0.06,1e-05,0,0.12,0.76739836,2.302195,1.3115807,0.46043903,-93.5532,48.363235,4.0414986912775225e-06,0.0142699670487885,0.0023714986738842,0.1322846148259926,332.07,5,0.05,0.0002,0,0.1,42.263832,126.791504,0.22373281,25.358301,-93.55597,48.40203,0.0003400646332284,0.1360947390516491,0.0299593672286194
01013500,0.0212319673194337,179.65,1,0.06,0.08373,0,0.12,3.0616543,9.184963,0.71232224,1.8369926,-68.59194,47.194954,6.40972135604564e-07,0.0053480498102045,0.000562322544668,0.0199497574982006,155.87,5,0.05,0.00082,0,0.1,33.982452,101.94735,0.24632889,20.389471,-68.580925,47.249184,0.0002291623390871,0.1051663561888692,0.0176469148886929
01632900,0.1083848716921195,371.16,2,0.06,0.00713,0,0.12,7.8835635,23.65069,0.4693059,4.7301383,-78.80467,38.49562,0.0001021386951364,0.0614592703976768,0.0095115482149499,0.0957027593863916,267.35,3,0.055,0.00195,0,0.11,16.418245,49.254734,0.33954343,9.850947,-78.63667,38.712315,0.00094554660539,0.2068881816189087,0.0474305427347297
02016000,0.0838625370440717,339.91,3,0.055,0.00797,0,0.11,10.337188,31.011562,0.41642657,6.2023125,-79.7316,37.797985,0.0001635157468632,0.0855622786017571,0.0140953090520045,0.0829222280950531,309.42,4,0.055,0.00236,0,0.11,27.16637,81.499115,0.27189916,16.299822,-79.76834,37.800068,0.0001579072941585,0.0724231890137229,0.0125195728175395
02027000,0.0630463165939763,212.45,3,0.055,0.00286,0,0.11,6.425522,30.0,0.5136162,3.855313,-79.0061,37.77318,4.049666106815556e-06,0.0111310075529665,0.0020086841904723,0.0613643990627642,173.75,4,0.055,0.00335,0,0.11,16.090485,50.0,0.34257764,9.654291,-78.97268,37.7032,0.0003171451383183,0.1131978386370385,0.0282170328756528
06919500,0.5143735093018194,237.74,1,0.06,0.00871,0,0.12,2.3950667,7.1852,0.7938216,1.4370401,-93.90224,37.82024,2.5142114971685696e-05,0.0272220648938375,0.0068675815661599,0.514013846908465,228.59,5,0.05,1e-05,0,0.1,26.177246,78.53174,0.27638483,15.706347,-93.86232,37.839176,0.0001542982972959,0.0741089377517316,0.0268376772530397
06921200,0.5091769788982345,311.23,1,0.06,0.01857,0,0.12,2.4157922,7.2473764,0.7908098,1.4494753,-93.232544,37.753967,9.928573762556772e-05,0.0568764243611243,0.0160354093282576,0.5081985721036533,267.93,4,0.055,0.00077,0,0.11,17.779709,53.339127,0.32781705,10.667826,-93.282745,37.776752,0.0013491734944617,0.2090775931757896,0.0768854037842082
06918460,0.5289567816829714,276.51,4,0.055,0.00107,0,0.11,12.987657,50.0,0.37653497,7.7925944,-93.82889,37.38525,0.0004574752862392,0.1233220403332799,0.0319619164226228,0.5282694544501064,268.6,5,0.05,1e-05,0,0.1,22.07528,70.0,0.29796764,13.245168,-93.80216,37.405087,1.2181376328631646e-05,0.027338639506411,0.0020388149805929
06921070,0.5112943919306258,308.02,1,0.06,0.01952,0,0.12,2.4716232,7.4148693,0.7828785,1.4829739,-93.331406,37.632042,0.0001060139095598,0.0651390447636288,0.0179221892829806,0.5093598586974288,265.08,5,0.05,1e-05,0,0.1,23.816534,71.44961,0.28815255,14.289921,-93.40492,37.679863,1.27773343015428e-05,0.0325211113481493,0.0012125337144105
07066000,0.2740955551524612,287.78,1,0.06,0.02371,0,0.12,4.034072,12.102216,0.63070905,2.4204433,-91.39379,37.195835,0.0004452872334215,0.1180378048641782,0.0217855757923406,0.2730031663423521,188.99,5,0.05,1e-05,0,0.1,26.001774,78.005325,0.27720615,15.601065,-91.3486,37.151318,8.672335577914897e-05,0.0581990452329674,0.0104746839503988
02027500,0.0633923888356274,485.36,1,0.06,0.03835,0,0.12,5.795063,17.38519,0.5375583,3.4770377,-79.113945,37.72505,0.0010584817033246,0.2435057075110674,0.0679741680388335,0.0613000016307701,184.54,4,0.055,0.00565,0,0.11,13.283078,50.0,0.3728172,7.9698467,-79.00443,37.69798,0.0001066537847294,0.0672383658035575,0.0097620279440708
02015700,0.105862418795933,730.79,1,0.06,0.04945,0,0.12,3.1917448,9.575234,0.6993644,1.9150469,-79.45646,38.27449,0.0002268032153399,0.1365430889165875,0.0312399664199246,0.099902147774011,486.74,3,0.055,0.00294,0,0.11,20.408102,61.224308,0.30847132,12.244862,-79.57696,38.166615,0.0034798064435959,0.3775689708393544,0.0720460440693737
