downstream,upstream,gage
6200372,6199752,01365000
3060252,3060256,06037500
4710428,4710376,01567500
5124322,5123200,06903400
3133679,3132317,07315700
4546478,4547834,03187500
5769819,5770113,08150800
3192080,3192072,09223000
3240407,3240583,09306242
3247614,3247486,01350000
348427,348385,11299600
6083557,6083401,01142500
4571719,4570581,01134500
6096301,6096227,01181000
3505807,3505633,10205030
3539113,3538785,06876700
588176,587632,07335700
6163115,6163065,01121000
3586214,3585674,08165300
3643704,3643780,06888500
5892366,5892314,01613050
3645672,3645554,06889200
4867203,4868351,05508805
5524989,5525059,08086212
3646108,3646062,06889500
3729091,3729001,06892000
7571985,7571877,07071500
3773675,3773609,03070500
7026409,7026659,05062500
3746098,3745592,07340300
3775049,3774881,03066000
4599975,4600109,04296000
5525977,5525115,08086290
3775989,3775041,03069500
6084639,6084485,01144000
6269292,6267552,02178400
3855285,3855339,06043500
6105975,6105375,01187300
3808327,3808409,03078000
3808413,3808487,03076600
4682494,4683044,01557500
5781417,5781365,08158810
3906369,3906339,09312600
3930874,3930912,03241500
5290223,5290211,08189500
5570383,5570393,08109700
397456,397420,07195800
4710634,4710750,01568000
5802222,5802080,05495500
4084458,4085776,05291000
4153184,4152996,01439500
6163201,6163279,01123000
4352686,4352744,03050000
4994035,4994207,05489000
8401381,8401361,01485500
8675135,8674977,02069700
6335992,6335686,02212600
6364346,6364454,02215100
6383979,6381533,02216180
6442684,6442248,02349900
8524283,8524231,02013000
8673171,8672849,02070000
6460665,6460249,02350900
6478767,6478905,02381600
6497222,6498616,02395120
6710025,6709929,01055000
8895542,8895360,02096846
8320013,8321225,11480390
8364342,8364370,06847900
6711911,6712261,01057000
6859808,6860130,04059500
8468565,8468343,01666500
8626867,8626771,02056900
6873553,6873409,03026500
8718809,8718947,02046000
6873861,6873633,03028000
6886648,6886922,03165000
6887560,6886816,03164000
6884216,6884592,03170000
8440247,8440097,01634500
8628719,8628881,02053800
6892186,6891866,03161000
8920581,8920057,10310500
7016407,7016357,05458000
6908085,6908171,03173000
6960301,6959781,05466500
8242340,8242208,11523200
8258809,8257635,11522500
8315605,8315619,11482500
8392902,8392256,01487000
8520765,8520753,02011400
8743361,8738241,02051000
7069741,7069247,05087500
7139936,7139040,05129115
7359833,7359489,06917000
7171118,7172320,05131500
724684,724714,01013500
8440991,8442055,01632900
8522117,8522127,02016000
8546073,8548641,02027000
7371499,7371559,06919500
7387709,7388713,06921200
7374533,7374727,06918460
7388007,7388229,06921070
7518821,7518433,07066000
8548821,8548769,02027500
8520543,8520513,02015700
8700875,8701145,02077200
7651759,7650917,07057500
8746119,8745843,02053200
7523291,7523429,07068000
7817414,7817200,07261000
7842829,7841965,08164000
8287574,8287628,11475560
8315833,8315829,11481200
8336286,8328234,08025500
8522503,8522605,02018000
7846067,7845409,08164300
7879518,7879622,10023000
7875850,7875192,08190500
8005997,8006021,11451100
788956,788868,02369800
8284784,8283544,11476600
8759151,8759061,02081500
8441035,8441071,01632000
8849829,8849889,02102908
8648006,8647790,02064000
8111847,8112097,01518862
8112299,8111217,01516500
8127533,8127361,01543000
8127607,8127555,01543500
8125293,8125037,01542810
8330480,8330272,08029500
8467197,8467081,01667500
8612083,8609955,02038850
8134648,8134360,01544500
8625791,8625541,02059500
8648280,8648024,02065500
8139752,8139372,01547700
8145130,8144144,01549500
8134946,8134664,01545600
8151115,8151105,01552500
8420976,8421640,01606500
8422706,8422854,01605500
8457990,8457344,01669520
8524487,8524515,02014000
8193701,8192713,11141280
8203187,8202753,11151300
8188957,8188921,11143000
8152831,8153441,01550000
8151187,8150923,01552000
8479560,8479128,01669000
8741019,8742275,02051500
8209965,8209893,11148900
8525401,8526529,02017500
8673537,8672681,02074500
8233476,8232226,11528700
8295203,8295275,11473900
8449084,8448604,01639500
8465329,8465063,01664000
8623691,8623363,02055100
8933518,8933600,10343500
8942075,8941703,10336660
8971062,8971032,03010655
8973360,8973606,03011800
8975276,8975138,03015500
8991864,8991180,04122500
8994318,8994456,04122200
9027877,9027867,04074950
9049609,9049185,03021350
916533,916517,07083000
9211186,9210400,02128000
9250818,9250608,02111500
9234691,9233477,02118500
9251300,9251174,02111180
933140016,2409858,02374500
9343747,9343857,01162500
9349291,9349229,08164600
9370706,9371016,06479215
9370976,9370888,06479438
9407516,9406176,01491000
9420705,9421105,01510000
942110019,7871543,08190000
9436439,9436889,01411300
9533695,9532219,08023080
9745076,9745184,02143000
9752546,9752224,02140991
9754772,9754818,02137727
9745570,9745524,02143040
9841714,9841826,04213000
9944150,9944834,02202600
9841444,9841576,04213075
9978337,9978713,02198100
