basin,std_obs,NSE,NNSE,MSE,RMSE,MAE,KGE,Pearson-r,low_var_flag
05131500,0.0007706581256281967,-40.094781764988525,0.02375591363278499,2.4406764022577124e-05,0.004940320234820525,0.004773406322063926,-97.99666747663439,-0.040657788589542984,True
05362000,0.00663260774782939,-3.739720231713439,0.17422451959848867,0.00020850733402079315,0.014439783032330962,0.012412426811292223,-0.45888608902791916,0.11165502615037753,True
05408000,0.006582633457557831,-43.274317467373464,0.022087577592321325,0.0019184532499342821,0.04380015125469639,0.022166532711589512,-4.0790105161100225,-0.010502854296772059,True
05514500,0.005450881760123386,-2.2116872779924717,0.23743453252698682,9.542601199335987e-05,0.009768623853612128,0.008139043489113306,-16.448408881178842,0.470763463030602,True
05591550,0.00293530605401171,-3.78600723899412,0.17283075507763226,4.1236341895945294e-05,0.006421552919344767,0.0052891882068016646,-104.50433608835576,0.4415243132203817,True
06191500,0.000325354186474231,-341.9765882853012,0.0029071745986694294,3.630590564793862e-05,0.006025438212108611,0.004474981850343724,-447.47626648138566,-0.017219468680303298,True
06332515,0.008168733834547666,-0.12789469703844114,0.46994806716318194,7.52623969761318e-05,0.008675390306846822,0.0017649134286812514,-1.4578366068685185,-0.09058966399460926,True
06352000,0.0014330286625358576,-8.518259616527684,0.09507276264874347,1.9546423324336823e-05,0.004421133714822118,0.0020026727233458962,-67.59996913697779,-0.0002838906598035071,True
06479438,0.0010735998247546708,-20.28892591248231,0.04486532926380168,2.4537969056170048e-05,0.0049535814373208855,0.0031872617936643858,-12.83372943524312,0.05680964712082544,True
06892000,0.0,,,0.001538709352719902,0.03922638592478157,0.007253023783525382,,,True
06910800,0.0017847895382544212,-215.6444563106865,0.004594649535077082,0.0006901152169321094,0.026270044098404353,0.008542868301198605,-23.48096997191147,0.04800566089221094,True
07142300,0.0,,,0.00952086536938799,0.09757492182619462,0.01923642643089272,,,True
07149000,0.0049987210361967975,-8.632173309521967,0.09405414781044055,0.00024068115648377081,0.01551390203926049,0.012260677980620046,-1.733128639790952,0.0038908663321247463,True
07151500,0.0013089821971555957,-131.5557860346794,0.007487507877347506,0.00022712564271275268,0.015070688196388135,0.0074250179482451785,-109.17067347812046,0.10040325018798749,True
07196900,0.004884281571056112,-8.51209406595219,0.09512852469984243,0.0002269224799552656,0.015063946360607688,0.010597700540107747,-4.590699505111341,0.45379610134292103,True
07375000,0.005647790971578045,-3.182107300656835,0.19297168931126715,0.00013339894686212626,0.011549846183483408,0.008948149728004529,-2.296421043100619,0.19565935919184307,True
08190500,0.00832436732498277,-8.666748421664247,0.09374928145572389,0.0006698582150453542,0.025881619250838116,0.02274587981505788,-113.34412399837366,0.2105669155745237,True
09312600,0.0042400078261218815,-12.014711538998345,0.07135359134701617,0.00023397414189230885,0.015296213318737054,0.008442148391486519,-4.101379214443758,0.39128976180209385,True
09497800,0.008162411337710663,-1.794641197044641,0.26352952705484367,0.0001861928547424007,0.013645250263091576,0.011291863860361956,-1.8704667083118531,0.316173834374037,True
09510200,0.009762627934799064,-1.6491615610017947,0.27403555125837525,0.00025248868541014356,0.015889892555022,0.012060971075757767,-4.7281356276091495,0.1122560726003443,True
09513780,0.003867831075389391,-5.161050595732563,0.1396443142848234,9.217003915824488e-05,0.009600522858586655,0.008189620296253586,-77.48885261948239,0.015783848523520026,True
10166430,0.0,,,1.4163638277811824e-05,0.0037634609441060795,0.0032284897215353993,,,True
10172700,0.002703479464457541,-10.016572647453486,0.0832184042270919,8.051793954801952e-05,0.008973178898696912,0.008219363732452283,-10.4457191501828,0.04997231423736362,True
10244950,0.008468797279544069,-1.3859228104699985,0.29534045989110735,0.0001711196422119645,0.013081270665037266,0.009435913870749275,-0.2676992518821011,0.30228471765729287,True
10329500,0.00277131884987051,-1.1353078323859846,0.3189479481633531,1.6399608654732744e-05,0.004049643028062195,0.0027238246674061066,-12.77826999334152,0.07248890113956998,True
10396000,0.0020482732681615903,-24.664545024134203,0.03750298379720694,0.00010767363225865733,0.010376590589334116,0.010026577975652415,-21.849270465196614,0.1870373385031955,True
11151300,0.0,,,0.0006697477533608377,0.0258794851834583,0.023751264185968776,,,True
11224500,0.002868354329434327,-7.963144034131647,0.10036992304579852,7.374387817453316e-05,0.008587425584803235,0.007787358942450983,-105.63146615887818,0.08501027300669249,True
11274630,0.0016532050850001287,-22.92411937124409,0.040121778631574775,6.538670090965519e-05,0.008086204357401264,0.006731393170568015,-27.96513021522689,0.12748512720563906,True
11468500,0.0006869392082782739,-113.14822588762395,0.008684458594923774,5.3864889892695595e-05,0.007339270392395663,0.00664398977850948,-135.84612208725883,-0.09670203211032247,True
12374250,0.001627710375351848,-5.074431890745471,0.1413541066538736,1.609384930413149e-05,0.004011714010760424,0.0032562552668194134,-3.326730957314977,0.09288355103882771,True
14096850,0.0,,,8.279665254284238e-05,0.009099266593678986,0.00786111496654935,,,True
